House.Number,Visit,house.number.visit,house.number.visit.date,Location,first.day,Ozone.UDAQ.ppb,UDAQ.n_OZONE,season,Monitor.closest,O3.mg.m3,O3.ppb,O3.LOD.ppb,O3.Below.detection,ozone.max,average.RH,min.RH,max.RH,average.Temp,min.Temp,max.Temp,time.hours,Type of Air Conditioner,ac.type,flow_level
H25,V1,H25 V1,2023-07-13 H25 V1,In,2023-07-13T00:00:00Z,45.391304347826086,23,Summer,Lindon,4.2999999999999997E-2,26.43985762912383,3.5253143505498437,FALSE,0.0264,53.16164874551971,35.4,66.7,20.86953405017921,18.6,25.7,23.25,Evaporative,EC,High
H25,V1,H25 V1,2023-07-13 H25 V1,Out,2023-07-13T00:00:00Z,45.391304347826086,23,Summer,Lindon,0.06,36.07804358665794,3.6078043586657937,FALSE,0.0361,30.01146953405018,7.7,71.8,24.62856982142857,15.26936,32.60238,23.333333333333332,Evaporative,EC,High
H26,V1,H26 V1,2023-07-20 H26 V1,In,2023-07-20T00:00:00Z,45.375,24,Summer,Lindon,4.7E-2,28.633069049837534,3.3685963588044157,FALSE,0.0286,76.19724137931034,64.2,82.8,21.11655172413793,18.4,24.5,24.166666666666668,Evaporative,EC,High
H26,V1,H26 V1,2023-07-20 H26 V1,Out,2023-07-20T00:00:00Z,45.375,24,Summer,Lindon,5.1999999999999998E-2,30.859395928931573,3.4288217698812846,FALSE,0.0309,46.450174216027875,22.9,71.2,25.67982648275862,17.4357,34.97688,24.166666666666668,Evaporative,EC,High
H26,V2,H26 V2,2023-08-28 H26 V2,In,2023-08-28T00:00:00Z,37.375,24,Summer,Lindon,3.1E-2,18.745970262310053,3.408358229510918,FALSE,0.0187,69.01951219512195,53.5,83.4,20.681533101045297,17.5,25,23.916666666666668,Evaporative,EC,High
H26,V2,H26 V2,2023-08-28 H26 V2,Out,2023-08-28T00:00:00Z,37.375,24,Summer,Lindon,3.3000000000000002E-2,20.35157946565222,3.3919299109420367,FALSE,0.0204,44.47132867132867,15.6,63.1,25.14121934027778,15.77468,35.6129,24,Evaporative,EC,High
H28,V1,H28 V1,2023-07-27 H28 V1,In,2023-07-27T00:00:00Z,35.958333333333336,24,Summer,Lindon,3.6999999999999998E-2,21.841835323947265,3.4946936518315614,FALSE,0.0218,52.29434628975265,38.1,61.7,22.596819787985865,21,24.4,23.583333333333332,Evaporative,EC,High
H28,V1,H28 V1,2023-07-27 H28 V1,Out,2023-07-27T00:00:00Z,35.958333333333336,24,Summer,Lindon,6.0999999999999999E-2,36.55689074496037,3.566525926337597,FALSE,0.0366,26.59285714285714,7.2,59.1,27.27611570921986,17.12225,36.13171,23.5,Evaporative,EC,High
H29,V2,H29 V2,2023-08-21 H29 V2,In,2023-08-21T00:00:00Z,33.43478260869565,23,Summer,Lindon,<0.0059,NA,3.45459937769243,TRUE,0.0035,48.84590747330961,39.8,75,19.719217081850534,18.9,21.4,23.416666666666668,Evaporative,EC,High
H29,V2,H29 V2,2023-08-21 H29 V2,Out,2023-08-21T00:00:00Z,33.43478260869565,23,Summer,Lindon,4.1000000000000002E-2,24.334554345973267,3.476364906567609,FALSE,0.0243,63.33274021352313,45.5,92.7,18.985528865248227,16.26265,22.54511,23.5,Evaporative,EC,High
