"House.Number","Visit","Location","SidePak.ug.m3.avg","SidePak.ug.m3.stdev","SidePak.ug.m3.min","SidePak.ug.m3.max","SidePak.num.points","SidePak.min.time","SidePak.max.time","Sidepak.tenth","Sidepak.ninetieth","SidePak.interval.measured","SidePak.is.valid","first.day","Ozone.UDAQ.ppb","PM2.5.UDAQ.ug.m3","UDAQ.n_OZONE","UDAQ.n_PM2.5","season","Monitor.closest","Ave Flow (L/min)","Total Volume (L)","O3.mg.m3","O3.ppm","O3.LOD.ppm","O3.Below.detection"
"H08","V3","In",2.94326241134752,1.72184230410891,1,15,282,2023-04-13 17:24:00,2023-04-14 16:49:00,1,5,23.4166666666667,"Y",2023-04-13,NA,3.60434782608696,NA,23,"Winter","Lindon",NA,NA,NA,NA,NA,NA
"H08","V3","Out",4.08510638297872,4.0327650267384,1,40,282,2023-04-13 17:24:00,2023-04-14 16:49:00,1,7,23.4166666666667,"Y",2023-04-13,NA,3.60434782608696,NA,23,"Winter","Lindon",NA,NA,NA,NA,NA,NA
"H09","V1","In",4.810443490701,1.37071516924074,3,18,1398,2022-08-09 16:44:00,2022-08-10 16:01:00,3,6,23.2833333333333,"Y",2022-08-09,53.5,6.73333333333333,24,24,"Summer","Lindon",0.24981,353.8283859,"<0.01",NA,0.00679237007583807,TRUE
"H09","V1","Out",3.82904148783977,4.24180889173608,0,105,1398,2022-08-09 16:44:00,2022-08-10 16:01:00,1,9,23.2833333333333,"Y",2022-08-09,53.5,6.73333333333333,24,24,"Summer","Lindon",0.24986,350.990835,"4.4999999999999998E-2",0.0273891292958603,0.00684728232396508,FALSE
"H10","V2","In",1.35810276679842,1.24802991796651,0,39,1265,2022-11-30 17:58:00,2022-12-01 17:13:00,1,2,23.25,"Y",2022-11-30,NA,2.7875,NA,24,"Winter","Spanish Fork",NA,NA,NA,NA,NA,NA
"H10","V2","Out",0.702766798418972,1.05925708240177,0,12,1265,2022-11-30 17:58:00,2022-12-01 17:13:00,0,2,23.25,"Y",2022-11-30,NA,2.7875,NA,24,"Winter","Spanish Fork",NA,NA,NA,NA,NA,NA
"H10","V3","In",4.78783592644979,0.920149060947743,4,19,1414,2023-08-03 18:02:00,2023-08-04 17:35:00,4,6,23.55,"Y",2023-08-03,41.25,4.85416666666667,24,24,"Summer","Spanish Fork",0.496685,703.32086055,"<0.0057",NA,0.00341712221999192,TRUE
"H10","V3","Out",5.88826025459689,1.6728854511425,2,21,1414,2023-08-03 18:02:00,2023-08-04 17:35:00,4,8,23.55,"Y",2023-08-03,41.25,4.85416666666667,24,24,"Summer","Spanish Fork",0.493885,698.6003325,"5.3999999999999999E-2",0.0326820152687343,0.00344021213355098,FALSE
"H11","V1","In",5.04463690872752,2.9518366403665,2,55,1501,2022-08-16 18:59:00,2022-08-17 19:59:00,3,8,25,"Y",2022-08-16,45.8846153846154,4.71538461538462,26,26,"Summer","Spanish Fork",0.251455,382.75222825,"<0.01",NA,0.00627908386414272,TRUE
"H11","V1","Out",16.6282478347768,13.9004691117915,5,52,1501,2022-08-16 18:59:00,2022-08-17 19:59:00,6,40,25,"Y",2022-08-16,45.8846153846154,4.71538461538462,26,26,"Summer","Spanish Fork",0.25025,379.263885,"7.5999999999999998E-2",0.0459420667424662,0.00633683679206431,FALSE
"H11","V2","In",9.31087470449173,3.47079786416153,6,48,846,2022-11-16 18:09:00,2022-11-17 08:14:00,6,14,14.0833333333333,"Y",2022-11-16,NA,8.124,NA,25,"Winter","Spanish Fork",NA,NA,NA,NA,NA,NA
"H11","V2","Out",7.12174940898345,4.99804219786969,2,35,846,2022-11-16 18:09:00,2022-11-17 08:14:00,3,12,14.0833333333333,"Y",2022-11-16,NA,8.124,NA,25,"Winter","Spanish Fork",NA,NA,NA,NA,NA,NA
"H12","V1","In",5.97278911564626,3.08615704729949,3,21,1176,2022-08-11 18:30:00,2022-08-12 18:10:00,3,10,23.6666666666667,"Y",2022-08-11,39.375,5.50833333333333,24,24,"Summer","Lindon",0.248525,356.43206975,"0.02",0.0117998174198975,0.00674275281137002,FALSE
"H12","V1","Out",5.28486394557823,2.20397524375626,2,19,1176,2022-08-11 18:30:00,2022-08-12 18:10:00,3,8,23.6666666666667,"Y",2022-08-11,39.375,5.50833333333333,24,24,"Summer","Lindon",0.2498,356.649452,"6.8000000000000005E-2",0.0404318581210535,0.00673864302017558,FALSE
"H12","V2","In",4.67234332425068,2.45884976225675,1,22,1468,2023-03-27 18:03:00,2023-03-28 18:30:00,3,7,24.45,"Y",2023-03-27,NA,2.612,NA,25,"Winter","Lindon",NA,NA,NA,NA,NA,NA
"H12","V2","Out",17.6696185286104,4.89262796903029,13,66,1468,2023-03-27 18:03:00,2023-03-28 18:30:00,14,22,24.45,"Y",2023-03-27,NA,2.612,NA,25,"Winter","Lindon",NA,NA,NA,NA,NA,NA
"H13","V1","In",4.7987106017192,2.58925788610876,3,64,1396,2022-08-10 17:51:00,2022-08-11 17:06:00,3,6,23.25,"Y",2022-08-10,42.7916666666667,5.32083333333333,24,24,"Summer","Lindon",0.2497995,353.448806535,"<0.01",NA,0.00679966460752855,TRUE
"H13","V1","Out",6.32449856733524,5.44309118827426,2,135,1396,2022-08-10 17:51:00,2022-08-11 17:06:00,3,10,23.25,"Y",2022-08-10,42.7916666666667,5.32083333333333,24,24,"Summer","Lindon",0.250595,361.1124069,"7.3999999999999996E-2",0.0449236850839766,0.00665536075318172,FALSE
"H13","V2","In",3.19886363636364,1.77887752430987,1,40,1408,2023-04-04 17:32:00,2023-04-05 16:59:00,2,5,23.45,"Y",2023-04-04,NA,1.2,NA,23,"Winter","Lindon",NA,NA,NA,NA,NA,NA
"H13","V2","Out",7.19957386363636,6.27213463515683,0,33,1408,2023-04-04 17:32:00,2023-04-05 16:59:00,1,16,23.45,"Y",2023-04-04,NA,1.2,NA,23,"Winter","Lindon",NA,NA,NA,NA,NA,NA
"H14","V1","In",5.26466380543634,2.57792989481543,2,22,1398,2022-08-15 15:39:00,2022-08-16 14:56:00,3,9,23.2833333333333,"Y",2022-08-15,38.5,5.5625,24,24,"Summer","Spanish Fork",0.500325,717.38099475,"<0.006",NA,0.00335014916475001,TRUE
"H14","V1","Out",8.26824034334764,3.11810124656888,4,25,1398,2022-08-15 15:39:00,2022-08-16 14:56:00,5,13,23.2833333333333,"Y",2022-08-15,38.5,5.5625,24,24,"Summer","Spanish Fork",0.50201,726.2980278,"8.1000000000000003E-2",0.0488080173889829,0.00330901812806664,FALSE
"H14","V2","In",15.3619972260749,8.51178052271617,3,50,1442,2022-09-09 15:36:00,2022-09-10 15:37:00,4,28,24.0166666666667,"Y",2022-09-09,51.625,29.3166666666667,24,24,"Summer","Spanish Fork",NA,NA,NA,NA,NA,NA
"H14","V2","Out",80.3065187239945,23.5824850425058,27,125,1442,2022-09-09 15:36:00,2022-09-10 15:37:00,47,106,24.0166666666667,"Y",2022-09-09,51.625,29.3166666666667,24,24,"Summer","Spanish Fork",NA,NA,NA,NA,NA,NA
