"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/24/2023","AQS","490494001","2","0.046","ppm","43","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/25/2023","AQS","490494001","2","0.038","ppm","35","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/26/2023","AQS","490494001","2","0.047","ppm","44","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/27/2023","AQS","490494001","2","0.045","ppm","42","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/28/2023","AQS","490494001","2","0.064","ppm","80","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/29/2023","AQS","490494001","2","0.061","ppm","71","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/30/2023","AQS","490494001","2","0.056","ppm","54","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"05/01/2023","AQS","490494001","2","0.056","ppm","54","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"05/02/2023","AQS","490494001","2","0.054","ppm","50","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"05/03/2023","AQS","490494001","2","0.049","ppm","45","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"05/04/2023","AQS","490494001","2","0.05","ppm","46","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"05/05/2023","AQS","490494001","2","0.044","ppm","41","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"05/06/2023","AQS","490494001","2","0.047","ppm","44","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"05/07/2023","AQS","490494001","2","0.049","ppm","45","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"05/08/2023","AQS","490494001","2","0.049","ppm","45","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"05/09/2023","AQS","490494001","2","0.056","ppm","54","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"05/10/2023","AQS","490494001","2","0.052","ppm","48","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"05/11/2023","AQS","490494001","2","0.057","ppm","58","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"05/12/2023","AQS","490494001","2","0.056","ppm","54","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"05/13/2023","AQS","490494001","2","0.046","ppm","43","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"05/14/2023","AQS","490494001","2","0.057","ppm","58","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
